name,category,service_kind,profession_type,address,suburb,state,postcode,latitude,longitude,phone,website,source,description,highlighted
Coralie Crews Psychologist and Expressive Arts Therapist,Assessment,Medical/Psych,Psychologist,"136 Dunlin Drive, Burleigh Waters, QLD, 4220",Burleigh Waters,QLD,4220,-28.093889,153.435187,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Core Psychology,Assessment,Medical/Psych,Psychologist,"Shop1,261-263 Victoria Road, Gladesville, NSW, 2111",Gladesville,NSW,2111,-33.8302971,151.1247733,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Danswan Psychology,Assessment,Medical/Psych,Psychologist,"272 Church Street, Richmond, VIC, 3121",Richmond,VIC,3121,-37.81946564,144.99873352,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Diana Whale - Psychologist,Assessment,Medical/Psych,Psychologist,"C5 Level 1,2 MAIN STREET, Point Cook, VIC, 3030",Point Cook,VIC,3030,-37.88413047,144.73662096,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Dr Ian D Rawlinson - Paediatrician,Assessment,Medical/Psych,Paediatrician,"North Park Consulting Suites,Level 1,Corner Plenty and Greenhills Road, Bundoora, VIC, 3083",Bundoora,VIC,3083,-37.69200134,145.06271362,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Dr James J Guinan - Clinical Psychologist,Assessment,Medical/Psych,Psychologist,"350 Jerusalem Road, Stewarts River, NSW, 2443",Stewarts River,NSW,2443,-31.70318222,152.62712097,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Dr Lionel Lubitz - Paediatrician,Assessment,Medical/Psych,Paediatrician,"Royal Childrens Hospital (Reception H),Level 2 Suite 6,Flemington Road, Parkville, VIC, 3052",Parkville,VIC,3052,-37.79364395,144.94776917,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Dr Robert Woodfield - Psychologist,Assessment,Medical/Psych,Psychologist,"Norwest Private Hospital,Suite 110,9 Norbrik Drive, Bella Vista, NSW, 2153",Bella Vista,NSW,2153,-33.74521637,150.95401001,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Dr Sarah Crome Psychologist - Woodend,Assessment,Medical/Psych,Psychologist,"155 Drummond Street, Carlton, VIC, 3053",Carlton,VIC,3053,-37.80271912,144.96783447,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Effie Ioannou Psychologist,Assessment,Medical/Psych,Psychologist,"Confidential Address, Armadale, VIC, 3143",Armadale,VIC,3143,-37.854829,145.014347,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Family Circle Psychology,Assessment,Medical/Psych,Psychologist,"Lot 5,Town Common Road, Goondiwindi, QLD, 4390",Goondiwindi,QLD,4390,-28.52441216,150.27027893,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Gippsland Psychology,Assessment,Medical/Psych,Psychologist,"Gippsland Consulting Suites,1 Inglis Street, Sale, VIC, 3850",Sale,VIC,3850,-38.10780716,147.08233643,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Great Psychology,Assessment,Medical/Psych,Psychologist,"Level 1,9 George Street, North Strathfield, NSW, 2137",North Strathfield,NSW,2137,-33.8622925,151.086094,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Headsup Psychology,Assessment,Medical/Psych,Psychologist,"Shop 1,2 Holt Street, Stanmore, NSW, 2048",Stanmore,NSW,2048,-33.89500046,151.1640625,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Healing Links Psychology,Assessment,Medical/Psych,Psychologist,"38 Waterloo, Lesmurdie, WA, 6076",Lesmurdie,WA,6076,-31.99719,116.04291,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Helena Phillips - Psychologist,Assessment,Medical/Psych,Psychologist,"Confidential Address, Moe, VIC, 3825",Moe,VIC,3825,-38.17821884,146.25416565,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Hornsby Counselling & Psychology,Assessment,Medical/Psych,Psychologist,"Level 6 Suite 607,90 George Street, Hornsby, NSW, 2077",Hornsby,NSW,2077,-33.70174026,151.10006714,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Immersive Psychology Group,Assessment,Medical/Psych,Psychologist,"41 YORK STREET, Subiaco, WA, 6008",Subiaco,WA,6008,-31.94654888,115.8343389,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
In-School Psychology Pty Ltd,Assessment,Medical/Psych,Psychologist,"65 Edward Street, Norwood, SA, 5067",Norwood,SA,5067,-34.9221611,138.63404846,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Inner Melbourne Clinical Psychology - Kensington,Assessment,Medical/Psych,Psychologist,"29 Lambeth Street, Kensington, VIC, 3031",Kensington,VIC,3031,-37.789864,144.934482,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Inner Melbourne Clinical Psychology - Melbourne,Assessment,Medical/Psych,Psychologist,"Level 1,423 LITTLE COLLINS STREET, Melbourne, VIC, 3000",Melbourne,VIC,3000,-37.81622935,144.96063771,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Insight Educational and Developmental Psychology,Assessment,Medical/Psych,Psychologist,"The Coast House,Unit 1,298 Queen Street, Campbelltown, NSW, 2560",Campbelltown,NSW,2560,-34.0698567,150.8094851,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Integrate Psychology,Assessment,Medical/Psych,Psychologist,"5 GREENHILL ROAD, Wayville, SA, 5034",Wayville,SA,5034,-34.94253494,138.58458451,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Jacqueline Adler - Psychology/Psychotherapy Child and Adult,Assessment,Medical/Psych,Psychologist,"265 Dandenong Road, Prahran, VIC, 3181",Prahran,VIC,3181,-37.85874176,145.00276184,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Jayson Rom - Psychologist,Assessment,Medical/Psych,Psychologist,"Suite 208,370 St Kilda Road, Melbourne, VIC, 3004",Melbourne,VIC,3004,-37.83197403,144.97061157,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Jennifer Fahey - Psychologist,Assessment,Medical/Psych,Psychologist,"155 Drummond Street, Carlton, VIC, 3053",Carlton,VIC,3053,-37.80273056,144.96775818,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
"Judy Whittle - Psychologist, Child Psychotherapist",Assessment,Medical/Psych,Psychologist,"17 GRATTAN STREET, Carlton, VIC, 3053",Carlton,VIC,3053,-37.80129222,144.96898409,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
KDM Psychology,Assessment,Medical/Psych,Psychologist,"23 Liverpool Street, Fitzroy North, VIC, 3068",Fitzroy North,VIC,3068,-37.78108978,144.9793396,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Kaye Nelson Clinical Psychologist,Assessment,Medical/Psych,Psychologist,"72 Terry Street, Rozelle, NSW, 2039",Rozelle,NSW,2039,-33.85987473,151.17085266,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
"Kemp, Jane - Psychologist",Assessment,Medical/Psych,Psychologist,"104 Rose Terrace, Wayville, SA, 5034",Wayville,SA,5034,-34.94286346,138.58792114,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Le Roux Psychology Services,Assessment,Medical/Psych,Psychologist,"8 George Street, Goondiwindi, QLD, 4390",Goondiwindi,QLD,4390,-28.5428772,150.30253601,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Lifeworks Psychology Australia,Assessment,Medical/Psych,Psychologist,"4/316 Onslow Road, Shenton Park, WA, 6008",Shenton Park,WA,6008,-31.96068001,115.82103729,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Linda Clifton - Psychology,Assessment,Medical/Psych,Psychologist,"Confidential Address, Malvern, VIC, 3144",Malvern,VIC,3144,-37.85728073,145.03450012,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Lisa Henry - Clinical Psychologist,Assessment,Medical/Psych,Psychologist,"Church Street Consulting Suites,Suite 21,140 Church Street, Richmond, VIC, 3121",Richmond,VIC,3121,-37.81509781,144.99890137,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Lucie Frankham Psychology,Assessment,Medical/Psych,Psychologist,"11A Hawken Street, Newtown, NSW, 2042",Newtown,NSW,2042,-33.9052124,151.17547607,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
MARIE-LOUISE CRASKE CLINICAL PSYCHOLOGIST,Assessment,Medical/Psych,Psychologist,"Bay Physio,7 Beach Road, Sandy Bay, TAS, 7005",Sandy Bay,TAS,7005,-42.9123678,147.35585442,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Maggie Orum - Counselling & Clinical Psychologist,Assessment,Medical/Psych,Psychologist,"Unit 6,275 Marmion Street, Melville, WA, 6156",Melville,WA,6156,-32.04716492,115.79459381,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Margaret McDonald Clinical Psychologist,Assessment,Medical/Psych,Psychologist,"4 Glengellan Street, Zillmere, QLD, 4034",Zillmere,QLD,4034,-27.36429024,153.02722168,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Mind Zone Psychology (ME),Assessment,Medical/Psych,Psychologist,"103 Orchid Street, Enoggera, QLD, 4051",Enoggera,QLD,4051,-27.41509819,152.99279785,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
MindTreat Psychology,Assessment,Medical/Psych,Psychologist,"12 RINGAROOMA DRIVE, Truganina, VIC, 3029",Truganina,VIC,3029,-37.82423659,144.70906507,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Morrison House Psychology Clinic,Assessment,Medical/Psych,Psychologist,"93 Morrison Road, Midland, WA, 6056",Midland,WA,6056,-31.88576889,116.00874329,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Mr Harry Constantinou - Psychologist,Assessment,Medical/Psych,Psychologist,"302 Albert Road, South Melbourne, VIC, 3205",South Melbourne,VIC,3205,-37.83887482,144.9629364,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Neil Blick Psychologist,Assessment,Medical/Psych,Psychologist,"21 Lyons Street N, Ballarat Central, VIC, 3350",Ballarat Central,VIC,3350,-37.5596351,143.85153518,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Nicki Gazis - Clinical Psychologist,Assessment,Medical/Psych,Psychologist,"7 RIVERSIDE QUAY, Southbank, VIC, 3006",Southbank,VIC,3006,-37.82168938,144.96448778,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Optimise Psychology,Assessment,Medical/Psych,Psychologist,"Level 9,85 Queen Street, Melbourne, VIC, 3000",Melbourne,VIC,3000,-37.8164978,144.96101379,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Ordinary People Psychology,Assessment,Medical/Psych,Psychologist,"22 Orphelia Street, Ferntree Gully, VIC, 3156",Ferntree Gully,VIC,3156,-37.880375,145.262174,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Phillips Clinical Psychology,Assessment,Medical/Psych,Psychologist,"Suite 14,296 Marrickville Road, Marrickville, NSW, 2204",Marrickville,NSW,2204,-33.91053391,151.15592957,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Purposeful Psychology,Assessment,Medical/Psych,Psychologist,"Suite 4, Level 1,685 Pittwater Road, Dee Why, NSW, 2099",Dee Why,NSW,2099,-33.7532354,151.2832269,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Quality Psychology - Hillside,Assessment,Medical/Psych,Psychologist,"Parkwood Green Medical,Suite 4,1-5 Kate Way, Hillside, VIC, 3037",Hillside,VIC,3037,-37.69300461,144.74449158,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Renee Melges - Serenity Holistic Psychology,Assessment,Medical/Psych,Psychologist,"Suite 2,174 High Street, Ashburton, VIC, 3147",Ashburton,VIC,3147,-37.86343384,145.07792664,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Shelley Rogers - Psychologist Psychology,Assessment,Medical/Psych,Psychologist,"Ground Floor Suite 1,185 Port Road, Hindmarsh, SA, 5007",Hindmarsh,SA,5007,-34.91147614,138.57249451,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Sue Barnard Psychology,Assessment,Medical/Psych,Psychologist,"127 Link Rd, Victoria Point, QLD, 4165",Victoria Point,QLD,4165,-27.585558,153.294644,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Suzie Freeman Psychologist,Assessment,Medical/Psych,Psychologist,"16 Trevor Street, Lilyfield, NSW, 2040",Lilyfield,NSW,2040,-33.87314987,151.16285706,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
The Rosy Room Psychology Practice,Assessment,Medical/Psych,Psychologist,"1/3,COMMERCIAL DRIVE, Springfield, QLD, 4300",Springfield,QLD,4300,-27.65472988,152.91863182,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Alison Clarke - Speech Pathologist,Intervention,Education,Speech Pathologist,"Suite 3,430 Rae Street, Fitzroy North, VIC, 3068",Fitzroy North,VIC,3068,-37.782115,144.980557,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
All Occupational Therapy and Rehabilitation - Sydney Office,Intervention,Education,Occupational Therapist,"Shop 3,5 Veno Street, Heathcote, NSW, 2233",Heathcote,NSW,2233,-34.0859935,151.0063336,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Aramac Primary Health Centre - Occupational Therapy Clinic,Intervention,Education,Occupational Therapist,"Aramac Hospital,2 Lodge Street, Aramac, QLD, 4726",Aramac,QLD,4726,-22.96672249,145.24467468,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Augathella Hospital - Speech Pathology Clinic,Intervention,Education,Speech Pathologist,"20 Cavanagh Street, Augathella, QLD, 4477",Augathella,QLD,4477,-25.79488754,146.5909729,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Barcaldine Hospital and Multipurpose Health Service - Occupational Therapy Clinic,Intervention,Education,Occupational Therapist,"Oak Street, Barcaldine, QLD, 4725",Barcaldine,QLD,4725,-23.55335999,145.3026886,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Barcaldine Hospital and Multipurpose Health Service - Speech Pathology / Therapy Clinic,Intervention,Education,Speech Pathologist,"Oak Street, Barcaldine, QLD, 4725",Barcaldine,QLD,4725,-23.55335999,145.3026886,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Beecroft Speech Pathology,Intervention,Education,Speech Pathologist,"21 Grace Avenue, Beecroft, NSW, 2119",Beecroft,NSW,2119,-33.74789429,151.05126953,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Benchmark Occupational Therapy,Intervention,Education,Occupational Therapist,"32 DELHI ROAD, Macquarie Park, NSW, 2113",Macquarie Park,NSW,2113,-33.79483425,151.1427108,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Birdsville Primary Health Centre - Occupational Therapy Clinic,Intervention,Education,Occupational Therapist,"29 Burt Street, Birdsville, QLD, 4482",Birdsville,QLD,4482,-25.90103531,139.34921265,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Brisbane Waters Speech Pathology,Intervention,Education,Speech Pathologist,"Suite 7a,188 The Entrance Road, Erina, NSW, 2250",Erina,NSW,2250,-33.43602371,151.38575745,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Building Blocks Speech Pathology,Intervention,Education,Speech Pathologist,"5 Brunker Road, Broadmeadow, NSW, 2292",Broadmeadow,NSW,2292,-32.92562866,151.73654175,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Burketown Health Centre - Speech Pathology Outreach Service,Intervention,Education,Speech Pathologist,"Hospital Road, Burketown, QLD, 4830",Burketown,QLD,4830,-17.74072647,139.54808044,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Cairns Hospital- Speech Pathology Department,Intervention,Education,Speech Pathologist,"Cairns Hospital,165-171 Esplanade, Cairns North, QLD, 4870",Cairns North,QLD,4870,-16.91242436,145.76836471,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Canterbury Hospital Allied Health Occupational Therapy,Intervention,Education,Occupational Therapist,"575 Canterbury Road, Campsie, NSW, 2194",Campsie,NSW,2194,-33.92037582,151.09887695,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Canterbury Hospital Allied Health Speech Pathology,Intervention,Education,Speech Pathologist,"575 Canterbury Road, Campsie, NSW, 2194",Campsie,NSW,2194,-33.92037582,151.09887695,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Caulfield Speech And Language Clinic,Intervention,Education,Speech Pathologist,"Suite 1,242 Hawthorn Road, Caulfield North, VIC, 3161",Caulfield North,VIC,3161,-37.87974167,145.02301025,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Chat Well Speech Pathology,Intervention,Education,Speech Pathologist,"Shop 1,6-12 CAPITAL STREET, Mawson Lakes, SA, 5095",Mawson Lakes,SA,5095,-34.80559587,138.61561915,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Cherie McLean Speech Pathologist,Intervention,Education,Speech Pathologist,"27 Jenkens Street, Frankston North, VIC, 3200",Frankston North,VIC,3200,-38.12595367,145.15586853,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Christine Lewis Speech Pathologist,Intervention,Education,Speech Pathologist,"37 Southee Road, Hobartville, NSW, 2753",Hobartville,NSW,2753,-33.60539627,150.73770142,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Constance Howse Counselling and Occupational Therapy Services,Intervention,Education,Occupational Therapist,"Confidential Address, Fitzroy North, VIC, 3068",Fitzroy North,VIC,3068,-37.7837944,144.98397827,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Cootamundra Health Service Occupational Therapy Service,Intervention,Education,Occupational Therapist,"120 Mackay Street, Cootamundra, NSW, 2590",Cootamundra,NSW,2590,-34.63528061,148.01394653,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Culcairn Community Health Service Speech Pathology Service,Intervention,Education,Speech Pathologist,"Culcairn District Hospital,55 Balfour Street, Culcairn, NSW, 2660",Culcairn,NSW,2660,-35.66738129,147.04216003,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Cunnamulla Hospital - Speech Pathology Clinic,Intervention,Education,Speech Pathologist,"56 Wicks Street, Cunnamulla, QLD, 4490",Cunnamulla,QLD,4490,-28.07187653,145.69059753,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Dajarra - Outreach Occupational Therapy,Intervention,Education,Occupational Therapist,"12 Matheson Street, Dajarra, QLD, 4825",Dajarra,QLD,4825,-21.69449043,139.51451111,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Dajarra - Outreach Speech Pathology Services,Intervention,Education,Speech Pathologist,"12 Matheson Street, Dajarra, QLD, 4825",Dajarra,QLD,4825,-21.69449043,139.51451111,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Deniliquin Community Health Service Occupational Therapy Service,Intervention,Education,Occupational Therapist,"Staff Quarters,411 Charlotte Street, Deniliquin, NSW, 2710",Deniliquin,NSW,2710,-35.52443695,144.96298218,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Deniliquin Community Health Service Speech Pathology Service,Intervention,Education,Speech Pathologist,"Staff Quarters,411 Charlotte Street, Deniliquin, NSW, 2710",Deniliquin,NSW,2710,-35.52443695,144.96298218,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Dirranbandi Hospital - Speech Pathology Clinic,Intervention,Education,Speech Pathologist,"Corner Jane and Crothers Street, Dirranbandi, QLD, 4486",Dirranbandi,QLD,4486,-28.58052063,148.22900391,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Doomadgee Hospital - Outreach Speech Pathology,Intervention,Education,Speech Pathologist,"19 Sharpe Street, Doomadgee, QLD, 4830",Doomadgee,QLD,4830,-17.9425354,138.82714844,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
